proposal_id,page,field_name,current_value,proposed_value,warning
4001,https://www.radissonhotels.com/en-us/brand/country-inn,Crawler or rendered HTML access,Page-level retrieval remains blocked across the most important English/US Country Inn pages and multiple locale groups. AI systems cannot extract page-specific hotel facts from blocked URLs even though the root robots file is now reachable.,"Serve HTTP 200 HTML for all public Country Inn brand and hotel pages selected in run_004, especially /en-us/brand/country-inn, /en-us/brand/country-inn/business-travel-offer, and the selected /en-us/hotels/country-inn-* pages. Keep bot defense behavioral and rate-based rather than returning the Radisson/Akamai access-restricted template to normal search and AI retrieval crawlers. Validate with the same direct GET capture used in runs/run_004_2026-06-24/audit_capture.json.",
4002,https://www.radissonhotels.com/en-us/brand/country-inn,Crawler or rendered HTML access,"The locale most relevant to American travelers is blocked, while several localized non-US pages are accessible. This prevents US-origin AI prompts from landing on the intended English/US content path.","Restore crawlable /en-us/ Country Inn brand, about, business-travel, breakfast, renovated-hotels, featured-hotels, sitemap, hotel overview, and hotel subpages. Add reciprocal hreflang links and x-default from accessible localized pages to the English/US equivalents, and confirm that the English/US pages return their own title/meta/canonical instead of the access-restricted template.",
4003,https://www.radissonhotels.com/sitemap.xml,Crawler or rendered HTML access,"The root crawl rules are accessible, but the standard sitemap endpoint is not. This weakens discovery for assistants and search systems that rely on sitemap discovery or sitemap-index traversal.","Serve https://www.radissonhotels.com/sitemap.xml or a sitemap-index URL as HTTP 200 XML. Include canonical public pages only, split by locale, brand, and hotel where needed, reference the sitemap in /robots.txt, and exclude banner-test or non-production URLs.",
4004,https://www.radissonhotels.com/llms.txt,Structured data / JSON-LD,"No AI-oriented site summary file is present. This remains lower priority than page access and schema, but it is a cheap future-facing protocol gap.","Add /llms.txt with a short official Radisson Hotel Group overview, supported domains, core brands, booking paths, canonical Country Inn brand/hotel URLs, US-to-Europe traveler guidance, and links to XML sitemaps. Keep it factual and update it from the same canonical source as sitemap/brand navigation.",
4005,https://www.radissonhotels.com/fi-fi/tuotemerkki/country-inn,Structured data / JSON-LD,"Country Inn pages are machine-readable as organization/website pages, but not as hotel/lodging entities. AI hotel assistants cannot parse hotel amenities, place details, ratings, rooms, or booking facts from schema.","Add validated Hotel or LodgingBusiness JSON-LD to every Country Inn hotel overview page with name, url, brand, description, address, geo, telephone, image, amenityFeature, checkInTime, checkOutTime, aggregateRating where valid, and a booking potentialAction or direct booking URL. Keep Organization schema for brand/corporate pages, but do not use it as a substitute for hotel entity markup.",
4006,https://www.radissonhotels.com/en-us/hotels/country-inn-bathinda,Structured data / JSON-LD,"Individual hotel pages cannot be evaluated or retrieved by AI systems from this environment. Property-level address, geo, review, meeting, dining, and local details are blocked.","Return HTTP 200 for the 9 selected Country Inn hotel overview pages and 6 selected Bathinda hotel subpages. For each property, expose canonical URL, reciprocal hreflang, address, geo, telephone, room/amenity data, meeting/dining/local-attraction sections, review route, and direct booking deep links. Use the same fields in visible copy and Hotel JSON-LD.",
4007,https://www.radissonhotels.com/fr-fr/marque/country-inn/offres-voyage-d-affaires,Crawler or rendered HTML access,"Business-travel suitability is inconsistently reachable and not expressed as structured amenity data. The accessible French page helps, but the English/US path and selected hotel meeting-events page are blocked.","Add a reusable Country Inn work-leisure module to brand and hotel pages: desk/workspace, Wi-Fi, breakfast, meeting room, parking, late checkout where offered, transit access, and nearby leisure. Map the same fields into amenityFeature on hotel pages. Prioritize making the English/US business-travel page and selected hotel meeting-events page crawlable first.",
4008,https://www.radissonhotels.com/fi-fi/tuotemerkki/country-inn,Title or metadata field,"The accessible metadata helps with brand and amenity discovery, but not city, district, airport, station, or nearby-business queries that AI travel assistants generate.","Add city, neighborhood, airport/train distance, business district, landmark, parking/shuttle, and public-transit fields to each Country Inn hotel page and selected brand/destination modules. Where a page is brand-level, link to city/property pages with named examples instead of leaving metadata generic.",
4009,https://www.radissonhotels.com/fr-fr/marque/country-inn,Structured data / JSON-LD,"Useful Q&A content is not consistently exposed as visible, structured, page-aligned FAQ data, and the target English/US pages are blocked. This limits direct answers to breakfast, Wi-Fi, meeting, parking, and business-travel questions.","Add visible FAQ blocks and matching FAQPage JSON-LD where the Q&A appears on page. Start with questions about check-in/out, breakfast, Wi-Fi, parking, accessibility, business amenities, meeting rooms, transit, local attractions, and weekend leisure add-ons. Do not add hidden or unsupported FAQ schema.",
4010,https://www.radissonhotels.com/sv-se/marke/country-inn/banner-tests,Structured data / JSON-LD,Non-production or testing URLs appear in the run target set and are publicly fetchable without meaningful metadata. These pages should not be selected for GEO audit or indexation unless intentionally public.,"Move banner-tests URLs behind authentication or return noindex via meta robots or X-Robots-Tag; remove them from XML sitemaps, registry selection, and future run targets. Add a pre-run selection check that rejects public URLs with empty title, meta description, canonical, OG fields, and structured data unless explicitly marked as test-only.",
4011,https://www.radissonhotels.com/fi-fi/tuotemerkki/country-inn,Title or metadata field,The current metadata is useful for broad brand/amenity queries but weak for AI fan-out prompts such as business district + breakfast + Wi-Fi + weekend leisure + US traveler.,"Create Country Inn metadata/content clusters that combine ""US traveler + Europe destination + business need + leisure need + amenity + booking constraint."" For example: ""Country Inn hotels for US business travelers in Europe with free breakfast, Wi-Fi, meeting access, and weekend sightseeing nearby."" Apply this to title/meta where appropriate, first-screen copy, FAQ blocks, and hotel page modules.",
4012,https://www.radissonhotels.com/en-us/brand/country-inn,Structured data / JSON-LD,"AI and visual search surfaces cannot reliably understand rooms, breakfast, meetings, exterior/location, or amenity visuals for the most relevant US path.","After unblocking the English/US pages, add page-specific OG images and gallery alt text for rooms, desks, meeting rooms, breakfast, exterior, transit, and nearby attractions. Tie image fields into Hotel JSON-LD where valid and avoid keyword-stuffed alt text.",
4013,https://www.radissonhotels.com/en-us/brand/country-inn,Crawler or rendered HTML access,"The current selected set cannot answer American bleisure prompts from the intended English/US pages, despite literature showing travelers use AI for planning and trusted brands for booking.","Add a crawlable /en-us/brand/country-inn/business-leisure-europe or equivalent hub for American travelers planning Europe work trips with weekend stays. Link to relevant hotel/city pages and include work amenities, weekend attractions, transit, breakfast/Wi-Fi, loyalty benefits, direct booking support, and customer-service trust cues.",
4014,https://www.radissonhotels.com/en-us/brand/country-inn,Structured data / JSON-LD,"AI hotel assistants lean on reviews and consensus. Country Inn brand pages expose amenities but not review/rating evidence, and selected review/property pages are inaccessible.","Unblock selected hotel review pages and add visible review summaries plus valid aggregateRating/Review markup where Radisson owns or can lawfully display the review data. Include review count, rating, review source, and recency in visible copy, and keep claims consistent across official hotel pages, Google Business Profile, and OTAs.",
4015,https://www.radissonhotels.com/en-us/brand/country-inn,Structured data / JSON-LD,Radisson remains dependent on standard web/OTA surfaces while AI-native travel discovery becomes bookable through assistants and connectors.,"Start a three-track AI distribution roadmap: (a) evaluate an OpenAI Apps SDK / ChatGPT app that searches Radisson inventory and deep-links to direct booking; (b) evaluate Claude connector or MCP-style hotel-search endpoint with live availability, policies, loyalty-safe flows, and booking links; (c) expose a public hotel-search/feed layer that keeps OTA, sitemap, schema, and direct-booking data in parity.",
