proposal_id,display_id,status,priority,title,component,pages,sources,review_notes
4001,PROP-001,ready-to-send,P1,"Serve HTTP 200 HTML for all public Country Inn brand and hotel pages selected in run_004, especially /en-us/brand/country-inn, /en-us/brand/",Commerce,https://www.radissonhotels.com/en-us/brand/country-inn,S1209;S1210;S1211,
4002,PROP-002,ready-to-send,P1,"Restore crawlable /en-us/ Country Inn brand, about, business-travel, breakfast, renovated-hotels, featured-hotels, sitemap, hotel overview, ",Meetings & Events,https://www.radissonhotels.com/en-us/brand/country-inn,S1212;S1213,
4005,PROP-005,ready-to-send,P1,"Add validated Hotel or LodgingBusiness JSON-LD to every Country Inn hotel overview page with name, url, brand, description, address, geo, te",Commerce,https://www.radissonhotels.com/fi-fi/tuotemerkki/country-inn,S1222;S1223;S1224,
4006,PROP-006,ready-to-send,P1,Return HTTP 200 for the 9 selected Country Inn hotel overview pages and 6 selected Bathinda hotel subpages,Meetings & Events,https://www.radissonhotels.com/en-us/hotels/country-inn-bathinda,S1225;S1226,
4013,PROP-013,ready-to-send,P1,Add a crawlable /en-us/brand/country-inn/business-leisure-europe or equivalent hub for American travelers planning Europe work trips with we,Commerce,https://www.radissonhotels.com/en-us/brand/country-inn,S1239;S1240;S1241,
4015,PROP-015,ready-to-send,P1,Start a three-track AI distribution roadmap: (a) evaluate an OpenAI Apps SDK / ChatGPT app that searches Radisson inventory and deep-links t,Commerce,https://www.radissonhotels.com/en-us/brand/country-inn,S1244;S1245;S1246,
4003,PROP-003,ready-to-send,P1,Serve https://www.radissonhotels.com/sitemap.xml or a sitemap-index URL as HTTP 200 XML,Platform,https://www.radissonhotels.com/sitemap.xml,S1214;S1215;S1216;S1217,
4007,PROP-007,ready-to-send,P2,"Add a reusable Country Inn work-leisure module to brand and hotel pages: desk/workspace, Wi-Fi, breakfast, meeting room, parking, late check",Meetings & Events,https://www.radissonhotels.com/fr-fr/marque/country-inn/offres-voyage-d-affaires,S1227;S1228,
4008,PROP-008,ready-to-send,P2,"Add city, neighborhood, airport/train distance, business district, landmark, parking/shuttle, and public-transit fields to each Country Inn ",Commerce,https://www.radissonhotels.com/fi-fi/tuotemerkki/country-inn,S1229;S1230,
4009,PROP-009,ready-to-send,P2,Add visible FAQ blocks and matching FAQPage JSON-LD where the Q&A appears on page,Meetings & Events,https://www.radissonhotels.com/fr-fr/marque/country-inn,S1231;S1232,
4010,PROP-010,ready-to-send,P2,"Move banner-tests URLs behind authentication or return noindex via meta robots or X-Robots-Tag; remove them from XML sitemaps, registry sele",Platform,https://www.radissonhotels.com/sv-se/marke/country-inn/banner-tests,S1233;S1234;S1235,
4011,PROP-011,ready-to-send,P2,"Create Country Inn metadata/content clusters that combine ""US traveler + Europe destination + business need + leisure need + amenity + booki",Meetings & Events,https://www.radissonhotels.com/fi-fi/tuotemerkki/country-inn,S1236;S1237,
4014,PROP-014,ready-to-send,P2,Unblock selected hotel review pages and add visible review summaries plus valid aggregateRating/Review markup where Radisson owns or can law,Commerce,https://www.radissonhotels.com/en-us/brand/country-inn,S1242;S1243,
4004,PROP-004,ready-to-send,P3,"Add /llms.txt with a short official Radisson Hotel Group overview, supported domains, core brands, booking paths, canonical Country Inn bran",Commerce,https://www.radissonhotels.com/llms.txt,S1218;S1219;S1220;S1221,
4012,PROP-012,ready-to-send,P3,"After unblocking the English/US pages, add page-specific OG images and gallery alt text for rooms, desks, meeting rooms, breakfast, exterior",Meetings & Events,https://www.radissonhotels.com/en-us/brand/country-inn,S1238,
